,ticker,year,p,h
0,AAPL,2019,0.432656698,0.11732683
1,AAPL,2020,0.823067051,0.183316025
2,AAPL,2021,0.346482205,0.287287709
3,AAPL,2022,-0.264041906,-0.181753622
4,AAPL,2023,0.490080314,0.261757918
5,AAPL,2024,-0.141897126,0.04499902
6,GOOGL,2019,0.062965742,0.11732683
7,GOOGL,2020,0.308536077,0.183316025
8,GOOGL,2021,0.652957809,0.287287709
9,GOOGL,2022,-0.390895533,-0.181753622
10,GOOGL,2023,0.583248296,0.261757918
11,GOOGL,2024,0.103085358,0.04499902
12,LLY,2019,0.132819096,0.11732683
13,LLY,2020,0.310398613,0.183316025
14,LLY,2021,0.660781539,0.287287709
15,LLY,2022,0.342553229,-0.181753622
16,LLY,2023,0.609090373,0.261757918
17,LLY,2024,0.248169732,0.04499902
18,META,2019,0.12416471,0.11732683
19,META,2020,0.330864827,0.183316025
20,META,2021,0.231329587,0.287287709
21,META,2022,-0.642217935,-0.181753622
22,META,2023,1.941332985,0.261757918
23,META,2024,0.360550438,0.04499902
24,MSFT,2019,0.2747076,0.11732683
25,MSFT,2020,0.425340773,0.183316025
26,MSFT,2021,0.524769205,0.287287709
27,MSFT,2022,-0.280247536,-0.181753622
28,MSFT,2023,0.58191259,0.261757918
29,MSFT,2024,0.063339202,0.04499902
30,NVDA,2019,0.234376374,0.11732683
31,NVDA,2020,1.222956748,0.183316025
32,NVDA,2021,1.254821033,0.287287709
33,NVDA,2022,-0.502646495,-0.181753622
34,NVDA,2023,2.390172128,0.261757918
35,NVDA,2024,0.538782227,0.04499902
36,TSLA,2019,0.617296856,0.11732683
37,TSLA,2020,7.434369946,0.183316025
38,TSLA,2021,0.497555592,0.287287709
39,TSLA,2022,-0.650315117,-0.181753622
40,TSLA,2023,1.017210546,0.261757918
41,TSLA,2024,-0.408201845,0.04499902
42,WMT,2019,0.164859466,0.11732683
43,WMT,2020,0.233223933,0.183316025
44,WMT,2021,0.019708237,0.287287709
45,WMT,2022,-0.004638464,-0.181753622
46,WMT,2023,0.128814368,0.261757918
47,WMT,2024,0.136684058,0.04499902
48,AAPL,2014,0.320046347,0.116413639
49,AAPL,2015,-0.030137336,0.012343037
50,AAPL,2016,0.124804583,0.119978834
51,AAPL,2017,0.484642892,0.217054209
52,AAPL,2018,-0.053901727,-0.045690049
53,GOOGL,2014,0.014685104,0.116413639
54,GOOGL,2015,0.46611766,0.012343037
55,GOOGL,2016,0.018560175,0.119978834
56,GOOGL,2017,0.329295131,0.217054209
57,GOOGL,2018,-0.008012096,-0.045690049
58,LLY,2014,0.197788882,0.116413639
59,LLY,2015,0.253924955,0.012343037
60,LLY,2016,-0.103688222,0.119978834
61,LLY,2017,0.178343199,0.217054209
62,LLY,2018,0.404547513,-0.045690049
63,META,2014,0.389739834,0.116413639
64,META,2015,0.341451013,0.012343037
65,META,2016,0.099273862,0.119978834
66,META,2017,0.533767959,0.217054209
67,META,2018,-0.257112179,-0.045690049
68,MSFT,2014,0.158961254,0.116413639
69,MSFT,2015,0.226918262,0.012343037
70,MSFT,2016,0.150777614,0.119978834
71,MSFT,2017,0.407305955,0.217054209
72,MSFT,2018,0.207952828,-0.045690049
73,NVDA,2014,0.089386622,0.116413639
74,NVDA,2015,0.671156396,0.012343037
75,NVDA,2016,2.269601849,0.119978834
76,NVDA,2017,0.819878868,0.217054209
77,NVDA,2018,-0.308152322,-0.045690049
78,TSLA,2014,0.120396949,0.116413639
79,TSLA,2015,0.079133185,0.012343037
80,TSLA,2016,-0.10966213,0.119978834
81,TSLA,2017,0.457017111,0.217054209
82,TSLA,2018,0.068893544,-0.045690049
83,WMT,2014,0.0966264,0.116413639
84,WMT,2015,-0.266366405,0.012343037
85,WMT,2016,0.160312722,0.119978834
86,WMT,2017,0.465607016,0.217054209
87,WMT,2018,-0.034319622,-0.045690049
