ticker,year,culture_emphasis
aapl,2014,3.0
aapl,2015,1.0
aapl,2016,2.0
aapl,2017,11.0
aapl,2018,1.0
aapl,2019,3.0
aapl,2020,9.0
aapl,2021,4.0
aapl,2022,7.0
aapl,2023,1.0
tsla,2014,17.0
tsla,2015,21.0
tsla,2016,26.0
tsla,2017,14.0
tsla,2018,15.0
tsla,2019,11.0
tsla,2020,3.0
tsla,2022,4.0
tsla,2023,2.0
meta,2014,2.0
meta,2015,2.0
meta,2016,6.0
meta,2017,1.0
meta,2018,1.0
meta,2019,4.0
meta,2020,32.0
meta,2021,24.0
meta,2022,20.0
meta,2023,18.0
googl,2014,2.0
googl,2015,1.0
googl,2016,12.0
googl,2017,6.0
googl,2018,2.0
googl,2019,30.0
googl,2020,3.0
googl,2021,6.0
googl,2022,3.0
googl,2023,13.0
nvda,2014,1.0
nvda,2015,10.0
nvda,2016,3.0
nvda,2017,10.0
nvda,2018,1.0
nvda,2019,3.0
nvda,2020,3.0
nvda,2021,22.0
nvda,2022,14.0
nvda,2023,11.0
wmt,2014,1.0
wmt,2015,1.0
wmt,2016,9.0
wmt,2017,8.0
wmt,2018,18.0
wmt,2019,11.0
wmt,2020,14.0
wmt,2021,8.0
wmt,2022,5.0
wmt,2023,1.0
lly,2014,10.0
lly,2015,4.0
lly,2016,3.0
lly,2017,12.0
lly,2018,10.0
lly,2019,14.0
lly,2020,12.0
lly,2021,3.0
lly,2022,14.0
lly,2023,2.0
amzn,2014,11.0
amzn,2015,20.0
amzn,2016,17.0
amzn,2017,12.0
amzn,2018,9.0
amzn,2019,10.0
amzn,2020,4.0
amzn,2021,5.0
amzn,2022,3.0
amzn,2023,5.0
jpm,2014,3.0
jpm,2015,1.0
jpm,2016,2.0
jpm,2017,5.0
jpm,2018,3.0
jpm,2019,14.0
jpm,2020,12.0
jpm,2021,18.0
jpm,2022,2.0
msft,2014,3.0
msft,2015,1.0
msft,2016,2.0
msft,2017,7.0
msft,2018,15.0
msft,2019,9.0
msft,2020,11.0
msft,2021,14.0
msft,2022,14.0
msft,2023,10.0
jpm,2023,2.0
