EXEC_FULLNAME,CFOANN,CONAME,CEOANN,SALARY,BONUS,OTHCOMP,TOTAL_CURR,TDC1,SAL_PCT,TDC1_PCT,GVKEY,YEAR,GENDER,PAGE,TICKER,SPINDEX,Income Stability Ratio
John Sculley,,APPLE INC,CEO,972.585,673.35,0,1645.935,,,,001690,1992,MALE,84,AAPL,4520,59.09012203
Michael H. Spindler,,APPLE INC,,588.257,538.58,0,1126.837,,,,001690,1992,MALE,80,AAPL,4520,52.20426734
Ian Diery,,APPLE INC,,408.987,368.532,0,777.519,,,,001690,1992,MALE,74,AAPL,4520,52.60154414
Albert A. Eisenstat,,APPLE INC,,474.907,269.874,0,744.781,,,,001690,1992,MALE,93,AAPL,4520,63.76465028
Joseph A. Graziano,,APPLE INC,,363.763,324.284,0,688.047,,,,001690,1992,MALE,80,AAPL,4520,52.86891739
Robert L. Puette,,APPLE INC,,393.341,289.173,0,682.514,,,,001690,1992,MALE,81,AAPL,4520,57.63119877
John Sculley,,APPLE INC,CEO,1059.556,412.685,5.034,1472.241,1477.275,8.942,,001690,1993,MALE,84,AAPL,4520,71.96892357
Michael H. Spindler,,APPLE INC,,693.052,302.24,3.795,995.292,999.087,17.814,,001690,1993,MALE,80,AAPL,4520,69.63303232
Ian Diery,,APPLE INC,,475.616,193.434,4.748,669.05,2247.42,16.291,,001690,1993,MALE,74,AAPL,4520,71.08825947
Albert A. Eisenstat,,APPLE INC,,483.155,126.386,4.412,609.541,613.953,1.737,,001690,1993,MALE,93,AAPL,4520,79.26538166
Joseph A. Graziano,,APPLE INC,,416.268,159.16,6.684,575.428,582.112,14.434,,001690,1993,MALE,80,AAPL,4520,72.34058822
Robert L. Puette,,APPLE INC,,399.951,155.042,4.19,554.993,5924.401,1.68,,001690,1993,MALE,81,AAPL,4520,72.06415216
G. Frederick Forsyth,,APPLE INC,,356.944,148.072,5.274,505.016,510.29,,,001690,1993,MALE,,AAPL,4520,70.67974084
Michael H. Spindler,,APPLE INC,CEO,684.922,249.5,5.702,934.422,3367.433,-1.173,237.051,001690,1994,MALE,80,AAPL,4520,73.29900195
Ian Diery,,APPLE INC,,466.12,136.68,5.123,602.8,2430.933,-1.997,8.165,001690,1994,MALE,74,AAPL,4520,77.32581287
Joseph A. Graziano,,APPLE INC,,408.02,104.23,6.611,512.25,518.861,-1.981,-10.866,001690,1994,MALE,80,AAPL,4520,79.65251342
James J. Buckley,,APPLE INC,,252.992,239.8,274.62,492.792,1751.001,,,001690,1994,MALE,,AAPL,4520,51.33849575
Daniel L. Eilers,,APPLE INC,,301.216,169.25,5.167,470.466,475.633,,,001690,1994,MALE,,AAPL,4520,64.0250305
G. Frederick Forsyth,,APPLE INC,,349.887,108.76,4.625,458.647,,-1.977,,001690,1994,MALE,,AAPL,4520,76.28677392
John Florisand,,APPLE INC,,234.866,171.68,28.852,406.546,,,,001690,1994,MALE,,AAPL,4520,57.77107634
Michael H. Spindler,,APPLE INC,CEO,843.335,586.058,4.481,1429.393,3394.838,23.129,0.814,001690,1995,MALE,80,AAPL,4520,58.99951938
Ian Diery,,APPLE INC,,498.372,292.264,637.865,790.636,2625.778,6.919,8.015,001690,1995,MALE,74,AAPL,4520,63.03431668
