gvkey,adate,qdate,public_date,TICKER
001004,2022-05-31,2022-11-30,2023-01-31,AIR
001004,2022-05-31,2022-11-30,2023-02-28,AIR
001004,2022-05-31,2022-11-30,2023-03-31,AIR
001004,2022-05-31,2023-02-28,2023-04-30,AIR
001004,2022-05-31,2023-02-28,2023-05-31,AIR
001004,2022-05-31,2023-02-28,2023-06-30,AIR
001004,2023-05-31,2023-05-31,2023-07-31,AIR
001004,2023-05-31,2023-05-31,2023-08-31,AIR
001004,2023-05-31,2023-05-31,2023-09-30,AIR
001004,2023-05-31,2023-08-31,2023-10-31,AIR
001004,2023-05-31,2023-08-31,2023-11-30,AIR
001004,2023-05-31,2023-08-31,2023-12-31,AIR
001045,2021-12-31,2022-09-30,2023-01-31,AAL
001045,2022-12-31,2022-12-31,2023-02-28,AAL
001045,2022-12-31,2022-12-31,2023-03-31,AAL
001045,2022-12-31,2022-12-31,2023-04-30,AAL
001045,2022-12-31,2023-03-31,2023-05-31,AAL
001045,2022-12-31,2023-03-31,2023-06-30,AAL
001045,2022-12-31,2023-03-31,2023-07-31,AAL
001045,2022-12-31,2023-06-30,2023-08-31,AAL
001045,2022-12-31,2023-06-30,2023-09-30,AAL
001045,2022-12-31,2023-06-30,2023-10-31,AAL
001045,2022-12-31,2023-09-30,2023-11-30,AAL
001045,2022-12-31,2023-09-30,2023-12-31,AAL
001050,2021-12-31,2022-09-30,2023-01-31,CECE
001050,2022-12-31,2022-12-31,2023-02-28,CECO
001050,2022-12-31,2022-12-31,2023-03-31,CECO
001050,2022-12-31,2022-12-31,2023-04-30,CECO
001050,2022-12-31,2023-03-31,2023-05-31,CECO
001050,2022-12-31,2023-03-31,2023-06-30,CECO
001050,2022-12-31,2023-03-31,2023-07-31,CECO
001050,2022-12-31,2023-06-30,2023-08-31,CECO
001050,2022-12-31,2023-06-30,2023-09-30,CECO
001050,2022-12-31,2023-06-30,2023-10-31,CECO
001050,2022-12-31,2023-09-30,2023-11-30,CECO
001050,2022-12-31,2023-09-30,2023-12-31,CECO
001075,2021-12-31,2022-09-30,2023-01-31,PNW
001075,2022-12-31,2022-12-31,2023-02-28,PNW
001075,2022-12-31,2022-12-31,2023-03-31,PNW
001075,2022-12-31,2022-12-31,2023-04-30,PNW
001075,2022-12-31,2023-03-31,2023-05-31,PNW
001075,2022-12-31,2023-03-31,2023-06-30,PNW
001075,2022-12-31,2023-03-31,2023-07-31,PNW
001075,2022-12-31,2023-06-30,2023-08-31,PNW
001075,2022-12-31,2023-06-30,2023-09-30,PNW
001075,2022-12-31,2023-06-30,2023-10-31,PNW
001075,2022-12-31,2023-09-30,2023-11-30,PNW
001075,2022-12-31,2023-09-30,2023-12-31,PNW
001076,2021-12-31,2022-09-30,2023-01-31,PRG
001076,2022-12-31,2022-12-31,2023-02-28,PRG
001076,2022-12-31,2022-12-31,2023-03-31,PRG
001076,2022-12-31,2022-12-31,2023-04-30,PRG
001076,2022-12-31,2023-03-31,2023-05-31,PRG
001076,2022-12-31,2023-03-31,2023-06-30,PRG
001076,2022-12-31,2023-03-31,2023-07-31,PRG
001076,2022-12-31,2023-06-30,2023-08-31,PRG
001076,2022-12-31,2023-06-30,2023-09-30,PRG
001076,2022-12-31,2023-06-30,2023-10-31,PRG
001076,2022-12-31,2023-09-30,2023-11-30,PRG
001076,2022-12-31,2023-09-30,2023-12-31,PRG
001078,2021-12-31,2022-09-30,2023-01-31,ABT
001078,2022-12-31,2022-12-31,2023-02-28,ABT
001078,2022-12-31,2022-12-31,2023-03-31,ABT
001078,2022-12-31,2022-12-31,2023-04-30,ABT
001078,2022-12-31,2023-03-31,2023-05-31,ABT
001078,2022-12-31,2023-03-31,2023-06-30,ABT
001078,2022-12-31,2023-03-31,2023-07-31,ABT
001078,2022-12-31,2023-06-30,2023-08-31,ABT
001078,2022-12-31,2023-06-30,2023-09-30,ABT
001078,2022-12-31,2023-06-30,2023-10-31,ABT
001078,2022-12-31,2023-09-30,2023-11-30,ABT
001078,2022-12-31,2023-09-30,2023-12-31,ABT
001104,2021-12-31,2022-09-30,2023-01-31,ACU
001104,2022-12-31,2022-12-31,2023-02-28,ACU
001104,2022-12-31,2022-12-31,2023-03-31,ACU
001104,2022-12-31,2022-12-31,2023-04-30,ACU
001104,2022-12-31,2023-03-31,2023-05-31,ACU
001104,2022-12-31,2023-03-31,2023-06-30,ACU
001104,2022-12-31,2023-03-31,2023-07-31,ACU
001104,2022-12-31,2023-06-30,2023-08-31,ACU
001104,2022-12-31,2023-06-30,2023-09-30,ACU
001104,2022-12-31,2023-06-30,2023-10-31,ACU
001104,2022-12-31,2023-09-30,2023-11-30,ACU
001104,2022-12-31,2023-09-30,2023-12-31,ACU
001117,2021-12-31,2022-09-30,2023-01-31,BKTI
001117,2022-12-31,2022-12-31,2023-02-28,BKTI
001117,2022-12-31,2022-12-31,2023-03-31,BKTI
001117,2022-12-31,2022-12-31,2023-04-30,BKTI
001117,2022-12-31,2023-03-31,2023-05-31,BKTI
001117,2022-12-31,2023-03-31,2023-06-30,BKTI
001117,2022-12-31,2023-03-31,2023-07-31,BKTI
001117,2022-12-31,2023-06-30,2023-08-31,BKTI
001117,2022-12-31,2023-06-30,2023-09-30,BKTI
001117,2022-12-31,2023-06-30,2023-10-31,BKTI
001117,2022-12-31,2023-09-30,2023-11-30,BKTI
001117,2022-12-31,2023-09-30,2023-12-31,BKTI
001121,2021-12-31,2022-09-30,2023-01-31,AE
001121,2022-12-31,2022-12-31,2023-02-28,AE
001121,2022-12-31,2022-12-31,2023-03-31,AE
001121,2022-12-31,2022-12-31,2023-04-30,AE
001121,2022-12-31,2023-03-31,2023-05-31,AE
001121,2022-12-31,2023-03-31,2023-06-30,AE
