"TICKER","date","SICCD","COMNAM","market_cap","SHROUT","VOL","PRC","ASKHI","BIDLO","total","negative","positive","sprtrn","RET","next_month_return","last_month_return","last_month_volume","X1_month_ma","X2_month_ma","X3_month_ma","proper","Ask_minus_Bid","comp_size","dummy_negative","dummy_positive","dummy_total","move_avg_2","move_avg_3","lasso_pred","pred_forest","log_pred"
"AAPL","2023-03-31",3571,"APPLE INC",-0.951357265333337,1.25800162921344,0.886750305015203,-0.983583978083927,-0.918258726225417,-1.03642058071792,9,0,1,0.376808975418333,1.27791377290602,0.0289888707628008,-0.214404565088526,1.18133574796337,-0.983583978083927,-1.32417705174454,-1.99778479486408,"1",0.665754375472761,"9","0","1","1","0","0",0.0238440773594694,0.0601779215796103,"Positive"
"AAPL","2023-04-30",3571,"APPLE INC",-0.406306519852965,0.3834170574017,-1.04284408192582,-0.415470244713288,-0.641525268841242,-0.188895065612016,4,0,1,-0.103955782724765,-0.103137901012096,0.0460688243946334,1.19582520442235,0.801199865932963,-0.415470244713288,-0.860979005561412,-1.26038992626275,"1",-1.54209350164975,"9","0","1","1","0","0",0.0238440773594694,0.0144582393476525,"Positive"
"AAPL","2023-05-31",3571,"APPLE INC",0.0463288483515872,0.417647081605103,-0.159913435107121,0.0115143294945891,-0.0994711606745249,0.052873710568209,22,0,1,-0.390382808037568,0.159950311604055,0.0943325602325518,-0.128590720954808,-1.10669915212499,0.0115143294945891,-0.279974021206981,-0.714801987718149,"1",-0.547260867987115,"9","0","1","1","0","0",0.0238440773594694,0.0759029545996895,"Positive"
"AAPL","2023-06-30",3571,"APPLE INC",0.73665997749487,0.381285375380832,0.335758136622429,0.668659004252562,0.76382075890667,0.72644258841813,24,1,11,1.07577584397614,0.903372704280279,0.0127870550664846,0.123708468965655,-0.233695724316947,0.668659004252562,0.353013184716776,0.0238970745274882,"1",-0.0449624650521691,"9","1","1","1","0","0",0.0238440773594694,-0.0219037543497277,"Positive"
"AAPL","2023-07-31",3571,"APPLE INC",1.16036265636802,-0.391032964430241,-1.20394762164486,1.12672073051085,0.977789485814585,1.24250471249866,2,1,0,0.284613141791573,-0.35269986262866,-0.0423844792283915,0.836643744840606,0.256402770673624,1.12672073051085,1.00414531170342,0.713393134962104,"1",-1.22983615519884,"9","1","0","1","0","0",0.0238440773594694,0.0144582393476525,"Positive"
"AAPL","2023-08-31",3571,"APPLE INC",0.484634580683913,-0.474760792892416,-0.220680553240917,0.488343905399701,0.892201995051419,0.461159263651317,7,0,2,-0.866188746478157,-1.20252537491093,-0.0886767726612504,-0.36791835986612,-1.26599132633311,0.488343905399701,0.898865290232168,0.926578219927018,"0",1.40036521428346,"9","0","1","1","1","1",0.0238440773594694,-0.0135946762529938,"Positive"
"AAPL","2023-09-30",3571,"APPLE INC",0.240770735022814,-0.514516727688829,0.98619259043462,0.258348663393516,0.507058286617172,0.229530366011155,9,0,5,-1.59645933024096,-1.91558098382399,-0.00257222356301012,-1.18289325437189,-0.29377960816441,0.258348663393516,0.391851565631376,0.743133129064143,"0",0.91796346402177,"9","0","1","1","1","1",0.0238440773594694,0.0231418900058216,"Positive"
"AAPL","2023-10-31",3571,"APPLE INC",0.0506646479076119,-1.26063569005703,-0.750167578162129,0.126824116682525,0.0711326669967811,0.125457714013044,7,0,3,-0.966603310481685,-0.58928394527957,0.113745303718472,-1.86670706232644,0.899524073335906,0.126824116682525,0.180772119924583,0.29609071528245,"0",-0.220989792626193,"9","0","1","1","1","1",0.0238440773594694,0.0848367418342244,"Positive"
"AAPL","2023-11-30",3571,"APPLE INC",0.710761162437801,-1.24445904222086,-0.926651791915717,0.758612020526655,0.675379781201461,0.362956842931808,14,0,2,1.65173251507886,1.20239365572876,0.0135810997678425,-0.594800331533885,-0.817313352747428,0.758612020526655,0.472859345649567,0.416924518381345,"1",1.00803685171229,"9","0","1","1","0","0",0.0238440773594694,0.0144582393476525,"Positive"
"ABBV","2023-03-31",2834,"ABBVIE INC",0.964325059888083,1.29112708012598,1.39738835927274,0.946177698194854,0.648973533324502,1.07249644971509,24,1,4,0.376808975418333,0.535409938317093,-0.0431395957746509,0.798719024907092,0.875729021934186,0.946177698194854,0.773686281796337,1.02345268146913,"0",-0.193672745375516,"2","1","1","1","0","1",0.0238440773594694,0.103067845972799,"Negative"
