TICKER,date,SICCD,COMNAM,market_cap,SHROUT,VOL,PRC,ASKHI,BIDLO,total,negative,positive,sprtrn,RET,next_month_return,last_month_return,last_month_volume,1_month_ma,2_month_ma,3_month_ma,proper?,Ask_minus_Bid,comp_size,dummy_negative,dummy_positive,dummy_total
A,2023-01-31,3825.0,AGILENT TECHNOLOGIES INC,45599233.008,296072.0,1269745.5,154.01399999999998,159.59,143.00999,18.0,0.0,5.0,0.06175077573839571,0.0162421913722679,-0.06647779497143658,,,154.01399999999998,,,False,16.580010000000016,6,0,1,1
A,2023-02-28,3825.0,AGILENT TECHNOLOGIES INC,44279593.044134736,296072.0,1262497.0,149.55684105263157,157.31,138.72,9.0,0.0,1.0,-0.02611363977213843,-0.06647779497143658,-0.025567025810340094,0.0162421913722679,1269745.5,149.55684105263157,151.78542052631576,,False,18.590000000000003,6,0,1,1
A,2023-03-31,3825.0,AGILENT TECHNOLOGIES INC,40444942.42599304,296055.9130434783,1655923.3043478262,136.61260739130435,145.435,128.22,10.0,0.0,3.0,0.03505299660820427,-0.025567025810340094,-0.019435131890116697,-0.06647779497143658,1262497.0,136.61260739130435,143.08472422196797,146.72781614797864,False,17.215000000000003,6,0,1,1
A,2023-04-30,3826.0,AGILENT TECHNOLOGIES INC,40625875.09384105,295702.0,1462303.7894736843,137.38789421052633,141.48,128.11,12.0,0.0,0.0,0.014642652863053884,-0.019435131890116697,-0.14590627663828204,-0.025567025810340094,1655923.3043478262,137.38789421052633,137.00025080091535,141.18578088482076,False,13.369999999999976,6,0,0,1
A,2023-05-31,3826.0,AGILENT TECHNOLOGIES INC,37735909.63090909,295687.1818181818,2100292.772727273,127.62045454545455,137.16,113.2801,8.0,0.0,0.0,0.002482705725674217,-0.14590627663828204,0.041542767831686644,-0.019435131890116697,1462303.7894736843,127.62045454545455,132.50417437799044,133.87365204909509,False,23.879899999999992,6,0,0,1
A,2023-06-30,3826.0,AGILENT TECHNOLOGIES INC,34907957.64571428,295376.0,2447019.1428571427,118.18142857142857,123.175,114.16,5.0,0.0,1.0,0.06472687309789893,0.041542767831686644,0.012640574496953993,-0.14590627663828204,2100292.772727273,118.18142857142857,122.90094155844156,127.72992577580315,False,9.015,5,0,1,1
A,2023-07-31,3826.0,AGILENT TECHNOLOGIES INC,36054037.624,295376.0,1915661.55,122.0615,130.0,115.655,7.0,0.0,0.0,0.031138922990452178,0.012640574496953993,-0.005746894629408472,0.041542767831686644,2447019.1428571427,122.0615,120.12146428571428,122.62112770562771,False,14.344999999999999,5,0,0,1
A,2023-08-31,3826.0,AGILENT TECHNOLOGIES INC,36379920.95625044,295376.0,1820745.391304348,123.16478304347827,129.99001,117.33,5.0,0.0,0.0,-0.017717116734410787,-0.005746894629408472,-0.07640222500616256,0.012640574496953993,1915661.55,123.16478304347827,122.61314152173912,121.1359038716356,True,12.660010000000014,5,0,0,1
A,2023-09-30,3826.0,AGILENT TECHNOLOGIES INC,33576485.364999995,295236.55,1990194.0,113.72650000000002,123.68,109.0,6.0,0.0,0.0,-0.048719958330245894,-0.07640222500616256,-0.07369084568073925,-0.005746894629408472,1820745.391304348,113.72650000000002,118.44564152173913,119.65092768115943,False,14.680000000000007,5,0,0,1
A,2023-10-31,3826.0,AGILENT TECHNOLOGIES INC,31818437.26772727,292587.0,2132531.8181818184,108.74863636363638,113.83,96.8,5.0,0.0,2.0,-0.021980107591409892,-0.07369084568073925,0.23633520239156836,-0.07640222500616256,1990194.0,108.74863636363638,111.2375681818182,115.21330646903823,False,17.03,5,0,1,1
A,2023-11-30,3826.0,AGILENT TECHNOLOGIES INC,33628695.83571428,292587.0,2202134.6666666665,114.93571428571428,128.45,100.26,9.0,0.0,0.0,0.0891784857429756,0.23633520239156836,0.08971793741671563,-0.07369084568073925,2132531.8181818184,114.93571428571428,111.84217532467534,112.47028354978356,False,28.189999999999984,5,0,0,1
A,2023-12-31,3826.0,AGILENT TECHNOLOGIES INC,39341513.366206504,292607.85,1763683.7,134.4509995,141.24001,125.7735,7.0,0.0,1.0,0.044229197270271525,0.08971793741671563,,0.23633520239156836,2202134.6666666665,134.4509995,124.69335689285714,119.37845004978355,True,15.466510000000014,6,0,1,1
ABBV,2023-01-31,2834.0,ABBVIE INC,271624533.752,1768481.0,5988489.8,153.592,168.11,144.41,14.0,0.0,1.0,0.06175077573839571,-0.07687269474522296,0.04162448785388251,,,153.592,,,False,23.700000000000017,9,0,1,1
