,TICKER,YEAR,SALARY_SALARY_mean,SALARY_SALARY_std,BONUS_BONUS_mean,BONUS_BONUS_std,TDC1_TDC1_mean,TDC1_TDC1_std,SAL_PCT_SAL_PCT_mean,SAL_PCT_SAL_PCT_std,TDC1_PCT_TDC1_PCT_mean,TDC1_PCT_TDC1_PCT_std,PAGE_PAGE_mean,PAGE_PAGE_std,ISR_ISR_mean,ISR_ISR_std,TENURE_TENURE_mean,TENURE_TENURE_std,ART_COUNT,CULT_EMPH
0,AAPL,2014,952.5135714,404.4857847,71.42857143,188.9822365,24990.54283,25011.52263,12.5092,6.921077604,459.70475,422.4241706,60.28571429,1.253566341,0.088959713,0.087315233,5.714285714,6.264031868,249,3
1,AAPL,2015,1166.666667,408.2482905,0,0,22747.671,6114.346999,41.5732,58.36851918,7.5135,59.64065643,61.33333333,2.160246899,0.065440836,0.063240907,5.166666667,6.431692364,229,1
2,AAPL,2016,1333.333333,816.4965809,0,0,20479.46867,5747.489496,8.333333333,20.41241452,-10.45066667,2.370237681,61.33333333,2.160246899,0.093666227,0.122121938,6.166666667,6.431692364,208,2
3,AAPL,2017,1358.9745,832.1982184,0,0,22272.87283,4628.544314,1.923,0,13.99,18.2352276,61.16666667,2.401388487,0.074887983,0.080111713,6.166666667,6.911343333,321,11
4,AAPL,2018,1376.923,908.7022283,0,0,24395.0214,4871.17767,-1.887,0,13.893,7.262433545,60.4,1.516575089,0.067501338,0.069233434,6.6,8.294576541,138,1
5,AAPL,2019,1251.310167,868.6424398,0,0,21440.474,5410.936848,-4.784,18.8550388,-11.5612,9.507032329,59.66666667,2.250925735,0.075446891,0.09040343,6.5,7.893034904,156,3
6,AAPL,2020,1400,894.427191,0,0,23959.1442,5137.310286,2.792,6.243101793,15.4494,15.88034251,59.2,2.167948339,0.071093438,0.073807671,7.6,8.820430828,162,9
7,AAPL,2021,1400,894.427191,0,0,41336.9834,32086.13316,0,0,115.93,253.0015911,59.2,2.167948339,0.035720134,0.002982799,8.6,8.820430828,127,4
8,AAPL,2022,1400,894.427191,0,0,41604.2544,32320.03861,0,0,0.621,0.079290605,59.2,2.167948339,0.035500608,0.002977115,9.6,8.820430828,123,7
9,AAPL,2023,1400,894.427191,0,0,34197.1338,16218.60183,0,0,-7.8922,15.94813234,59.2,2.167948339,0.039183456,0.004627287,10.6,8.820430828,132,1
10,GOOGL,2014,464.5836667,483.5035367,3166.666667,2804.757862,54435.033,54374.65679,0,0,406.8292,394.9979281,57.66666667,6.889605697,0.340478287,0.510885343,7.5,4.277849927,335,2
11,GOOGL,2015,470.601375,405.6773047,1375,2559.99442,30471.88557,36853.65713,9.274833333,51.1918116,-30.0316,55.87618692,57.625,7.069805008,0.315677659,0.470436765,6.625,5.012484414,180,1
12,GOOGL,2016,550.0002857,434.9325235,0,0,34578.49243,74216.93844,10.568,26.44976587,9.5356,62.8075546,58.42857143,8.580154289,0.653470016,0.454684642,7.142857143,5.69878851,150,12
13,GOOGL,2017,533.3336667,473.9897045,0,0,769.0725,756.5873699,0,0,-32.49816667,51.3566577,56.83333333,8.183316361,0.843033271,0.220081098,9.166666667,5.492419018,251,6
14,GOOGL,2018,533.3336667,473.9897045,0,0,19613.4638,25272.71404,0,0,2762.0506,3771.933838,56.83333333,8.183316361,0.429693385,0.446622361,10.16666667,5.492419018,248,2
15,GOOGL,2019,390.0004,356.0191147,0,0,70486.616,140090.3047,0,0,3655.25525,7442.120981,54.8,7.259476565,0.74118054,0.492659645,10.2,5.540758071,164,30
16,GOOGL,2020,657.1431429,666.7258593,0,0,32971.08857,29101.35662,51.923,103.846,2488.515667,4394.820546,55.57142857,7.044078905,0.331001011,0.46663241,7,7.187952884,199,3
17,GOOGL,2021,920,603.7383539,0,0,18590.5654,9797.772865,0,0,-52.4032,23.27345558,58,6.964194139,0.090073775,0.126941204,4,2.738612788,144,6
18,GOOGL,2022,1200,447.2135955,0,0,69810.4622,87532.34361,43.0768,24.08066326,733.3294,1532.331892,58,6.964194139,0.028915439,0.013202742,5,2.738612788,231,3
19,LLY,2014,995.089,318.634961,0,0,4861.6162,3071.811614,0.2608,0.246874867,-8.8402,1.456980679,62.6,5.941380311,0.229748471,0.051139338,7.4,5.412947441,152,10
20,LLY,2015,1008.575,310.2261789,0,0,7628.856,5158.950515,1.6678,1.559738023,54.7342,8.100256829,62.6,5.941380311,0.152014054,0.03688317,8.4,5.412947441,198,4
21,LLY,2016,1026.204,297.9188197,0,0,6971.144,4746.044393,2.1674,2.322474176,-8.5984,2.015615489,62.6,5.941380311,0.170462184,0.043380495,9.4,5.412947441,155,3
22,LLY,2017,1026.3818,246.1776673,0,0,8132.1844,3745.359097,2.95275,1.391449454,39.188,46.35536722,59.8,5.449770637,0.137236632,0.03840328,6.8,4.086563348,247,12
23,LLY,2018,923.778,236.3833476,0,0,6886.994667,4319.974245,1.592,2.34832898,-4.957,25.562858,55.16666667,3.430257522,0.149768257,0.031313105,3.333333333,3.386246693,252,10
24,LLY,2019,984.5098,233.8782301,0,0,7607.1118,5067.530832,3.7108,2.782335296,5.7928,10.10725144,55,3.807886553,0.149426947,0.038850179,4.8,3.563705936,240,14
25,LLY,2020,1002.0832,291.7631668,30,67.08203932,7836.765,5659.449652,8.326,2.071575005,0.382666667,10.95410231,54.4,3.646916506,0.152836574,0.053354266,2.4,1.341640786,299,12
26,LLY,2021,787.7457143,410.1482827,66.95928571,114.7108173,6986.7875,6377.672972,-16.154,40.4112381,-26.30066667,59.25501462,50,6.228964601,0.260746586,0.33734695,2.571428571,1.718249386,348,3
27,LLY,2022,1051.731,301.5508821,0,0,8820.939,7232.945834,10.949,8.362019652,17.82433333,5.609513734,53,2.828427125,0.150713254,0.04858333,3.4,2.073644135,262,14
28,META,2014,370.2902857,258.2337563,466.0058571,402.6964153,9762.035571,5187.754614,34.87625,25.10889087,18.9705,46.31777071,48,6.506407099,0.173141416,0.364997922,2.714285714,1.603567451,109,2
29,META,2015,531.9234,298.9665219,751.2118,473.1330483,12857.3248,5307.554189,23.8072,21.57653691,6.2674,23.60959111,47,7.280109889,0.037108743,0.022045584,3.8,1.643167673,107,2
30,META,2016,679.61525,39.01664642,1006.65525,194.7954256,18521.524,4018.799544,2.21075,1.744977053,26.8905,19.25799694,49,6.633249581,0.037499894,0.004957504,4.5,1.732050808,110,6
31,META,2017,586.0774,329.6505547,494.8832,278.2378564,20302.227,6376.83806,7.796,0.295902011,27.42175,16.52989295,47,7.280109889,0.025372042,0.014183598,4.6,2.50998008,159,1
32,META,2018,620.9232,349.2499469,441.6084,253.5187305,21082.51,1925.069741,4.7566,2.659020271,21.1788,70.83386644,47,7.280109889,0.030054416,0.016842141,5.6,2.50998008,260,1
33,META,2019,534.7023333,339.5430486,883.3068333,862.4216758,22568.7756,2980.201936,-6.7094,21.89408426,9.24725,4.399663349,48,6.957010852,0.024703772,0.015658038,5.666666667,3.204163958,157,4
34,META,2020,597.431,385.1156193,667.457,384.1970037,30383.907,22418.02114,3.5408,2.136534156,-12.88825,15.98585734,47,7.280109889,0.029098854,0.024581984,7.6,2.50998008,150,32
35,META,2021,679.0388,387.8814419,1483.6444,1920.078003,28378.3452,4191.354455,27.7005,50.22943101,10.266,49.65338698,47.8,7.628892449,0.023855931,0.013710147,6.6,3.78153408,171,24
36,META,2022,744.7458571,338.3769661,575.3765714,322.38886,7618.062429,9797.605946,-1.293,8.838543093,-59.1485,42.87898887,44.28571429,7.273565969,0.320181588,0.232688436,5.571428571,4.613644361,216,20
37,MSFT,2014,658.601,176.446338,1993.537833,1221.302795,22174.79217,31184.02273,16.11275,45.40366677,247.1275,502.9977558,58.66666667,5.853773712,0.193306306,0.307416222,6.833333333,8.975893642,341,3
38,MSFT,2015,773.0378,256.0563769,2718.6,1279.939374,10278.9362,6115.326137,11.087,14.03415517,-43.04075,31.02526137,58,4.949747468,0.108232498,0.09053877,4.4,4.878524367,326,1
39,MSFT,2016,841.2502,211.5603248,2606.6,1058.349564,11270.1028,4263.099924,11.087,11.47925731,63.665,152.2982177,58,4.949747468,0.078364258,0.015949163,5.4,4.878524367,262,2
40,MSFT,2017,910.9608,305.5978272,0,0,13418.3204,5545.114401,12.65175,8.315625227,11.7655,7.16483047,58.8,5.263078947,0.073440252,0.022280481,3.6,1.673320053,497,7
41,MSFT,2018,944.6,315.9878162,0,0,14832.7214,6588.355839,3.7502,4.200367686,15.4016,30.54120942,58.8,5.263078947,0.066477318,0.011021429,4.6,1.673320053,618,15
42,MSFT,2019,1130.9332,677.9241317,0,0,21205.6496,12651.64818,13.4256,24.14881643,36.97,17.59318048,58.8,5.263078947,0.054423392,0.008386212,5.6,1.673320053,497,9
43,MSFT,2020,1165.4,752.3950425,0,0,20828.1044,13644.1007,1.4852,3.58217374,-3.8972,4.59249319,58.8,5.263078947,0.057610482,0.009939829,6.6,1.673320053,609,11
44,MSFT,2021,1182.6416,758.4389517,700,1565.247584,27817.053,13043.6829,7.94925,9.027762121,18.823,4.424063215,56.8,6.058052492,0.04263292,0.014059354,6.4,3.435112807,618,14
45,MSFT,2022,1260.6666,695.4151758,300,670.8203932,27048.817,16539.70713,15.64525,27.58363103,-5.517,35.60931113,54.2,6.058052492,0.049876325,0.013506447,6.4,4.50555213,540,14
46,MSFT,2023,1262,694.7805409,0,0,22211.8814,15352.57323,0.1342,0.300080323,-20.3424,7.254366671,54.2,6.058052492,0.063667898,0.021778882,7.4,4.50555213,603,10
47,NVDA,2014,828.6872,113.5630549,300,670.8203932,4583.6214,2824.021728,116.36,152.6555033,45.546,8.674552236,64.8,5.495452666,0.219405752,0.084458795,10,5.958187644,81,1
48,NVDA,2015,845.7214,115.8974156,200,447.2135955,4907.5492,2691.598794,2.056,0,10.519,14.45954303,64.8,5.495452666,0.200489957,0.070674964,11,5.958187644,65,10
49,NVDA,2016,693.286,348.3570826,0,0,5605.4004,3828.464221,-2.016,1.010827384,9.6264,15.27882817,63.5,5.856620186,0.185704776,0.079464841,10.16666667,6.968978883,76,3
50,NVDA,2017,909.536,65.41184277,0,0,6867.0582,3622.601887,1141.587,2526.917503,8.64,4.899577805,62.6,6.066300355,0.15488804,0.057076256,10.2,7.328028384,167,10
