TICKER,date,SICCD,COMNAM,market_cap,SHROUT,VOL,PRC,ASKHI,BIDLO,total,negative,positive,sprtrn,RET,next_week_return,last_week_return,last_week_volume,2_week_ma,3_week_ma,4_week_ma,proper?,Ask_minus_Bid,comp_size,dummy_negative,dummy_positive,dummy_total
AAPL,2023-01-09,3571.0,APPLE INC,-2.6522526097293353,1.5430801099247802,2.3167226747826186,-2.605486762339293,-2.5096730635504643,-2.525953143460789,1.0,0.0,0.0,0.5132781683422232,-0.22422401425365995,0.03542016120063751,,,,,,False,0.5526507296811555,9,0,0,1
AAPL,2023-01-16,3571.0,APPLE INC,-2.2990828508062844,1.4945928161144226,0.5328445856321233,-2.2699694256369805,-2.421335509794426,-2.302479771388261,5.0,1.0,1.0,1.270407875821221,0.9556748286121736,0.0471205417392202,-0.2317987478313941,2.326350015770881,-2.5508685280099628,,,False,-0.2186558796879041,9,1,1,1
AAPL,2023-01-23,3571.0,APPLE INC,-2.0602168543254082,1.4387510159212868,0.9334193342832202,-2.0416960835502023,-1.930213811925585,-1.982827986018696,5.0,0.0,5.0,0.045934131786654536,1.364989151355381,0.013392935427251285,0.9391389909111927,0.5096132583787064,-2.2575852898477637,-2.52534847436177,,False,0.6490640558522851,9,0,1,1
AAPL,2023-01-30,3571.0,APPLE INC,-1.6777002870175652,1.3549883156316014,0.4164892880965651,-1.6762297579592536,-1.7011796907634045,-1.6976872783615977,3.0,0.0,0.0,-0.2662495236172756,0.18509655813504483,0.06104957940548128,1.3453446503249833,0.9175665116776117,-1.9487226234129869,-2.1898409419274785,-2.465778532266659,True,0.29344113145056877,9,0,0,1
AAPL,2023-02-06,3571.0,APPLE INC,-1.3197455872792807,1.3549883156316014,3.0290317574575605,-1.3381619515699212,-1.1073875247873792,-1.555682114150012,1.0,0.0,0.0,1.0361659925923705,1.8522685693221494,0.015515961452824856,0.17441311376304197,0.3911147201457396,-1.5827450076993432,-1.853412564358623,-2.108039593855583,True,2.7085127636282333,9,0,0,1
AAPL,2023-02-13,3571.0,APPLE INC,-1.1312397082696375,1.3549883156316014,0.45379863461246883,-1.1601288958372362,-1.2331661609300844,-1.1087359357603288,1.0,0.0,0.0,0.11150342195255901,0.25936636132292584,-0.008450191217153624,1.828923275102643,3.051779685539472,-1.314269955244508,-1.5351234038459787,-1.7947551307390477,True,-0.46838219993444014,9,0,0,1
AAPL,2023-02-20,3571.0,APPLE INC,-1.0561344688778513,1.3549883156316014,0.3779099510035758,-1.0891962790896659,-1.1688143005780016,-1.016517244314268,1.0,0.0,0.0,-1.010447749784531,-0.5790413739233362,-0.030349761219707005,0.24811885212146426,0.4291112971663152,-1.184758309587178,-1.3231754141902496,-1.525884620204649,True,-0.6359232720785691,9,0,0,1
AAPL,2023-02-27,3571.0,APPLE INC,-1.3846847094713475,1.3549883156316014,-0.4731409357423651,-1.3994932502073525,-1.4630778074607016,-1.3067390009703113,6.0,1.0,2.0,-1.5415755049817312,-1.3451538635474058,0.03995320778537215,-0.5839213380943873,0.35182475958232795,-1.3092753610238028,-1.3453190327692288,-1.4477677683435584,False,-0.6043724062256517,9,1,1,1
AAPL,2023-03-06,3571.0,APPLE INC,-1.3595586843876408,1.3549883156316014,0.3462852413849212,-1.375763151986704,-1.1705693513148765,-1.409718359598194,0.0,0.0,0.0,0.6736970401127955,1.114254362557727,-0.02184268654694488,-1.3442153511336623,-0.5149023098099781,-1.4583471062569306,-1.4231736164290825,-1.4583817904204384,False,1.5515591717599755,9,0,0,0
AAPL,2023-03-13,3571.0,APPLE INC,-1.231622184077246,1.3549883156316014,0.24724275230725232,-1.2549344212878608,-1.2738248363343536,-1.1998451809212398,1.0,0.0,1.0,-2.8502440576110213,-1.0475509354438968,0.046055137739088314,1.0965141438845176,0.31961752930381504,-1.3831477759992818,-1.4830132462161714,-1.4851433812470403,False,-0.1790157777145886,9,0,1,1
